"","state","zip_code","kw_potential_for_median_house","yearly_solar_kwh_produced","estimated_avg_carbon_offset","estimated_percent_of_houses_qualified","num_customers","average_installation_cost","avg_house_price","average_monthly_consumption","price_per_kwh","impact","economical","savings","naive_model"
"3310","New Jersey",8882,6.75,8000.321399,39895.65524,88.184560641665,4470,10745,485900,687,0.16,0.00567772174793842,0.344795875921145,-0.0147699454517475,0.117700003293043
"3311","New Jersey",8352,7,7956.088818,72.36513318,40,10,10745,485900,687,0.16,0.0101488762197312,0.342845098402841,-0.0174509884562582,0.117643672673434
"3312","Illinois",62090,6.75,8474.060889,7054.750624,85.3607785200368,368,12388,266800,728,0.13,0.0125986514747288,0.335799469470905,-0.0128998665528441,0.11762798940679
"3313","New York",11222,6,6945.607324,57674.05261,85.892845604641,4588,11766,649000,599,0.19,0.00821010384504581,0.344730655789698,-0.0174467529070287,0.117626500146277
"3314","Tennessee",37040,11.25,13687.22087,375196.3005,92.5031228301772,15180,10293,418900,1183,0.11,0.0149892175479693,0.341618449392051,-0.0212013487306491,0.117595755950229
"3315","Oregon",97221,11.25,10924.46583,14081.09581,80.2066670547263,3458,11144,490200,936,0.11,0.00284806289663254,0.345362390283167,-0.0128152646213313,0.117591853818277
"3316","New York",11951,6,6964.429968,20045.17789,63.8252741439117,3226,11766,649000,599,0.19,0.00546136803503746,0.345682741404654,-0.0160919511681966,0.11747158504658
"3317","Kansas",67216,8,10363.54926,103176.8656,76.61548709361,6652,9881,263700,890,0.13,0.011356960206996,0.339186181261657,-0.0155844322024471,0.117438821184293
"3318","Tennessee",37660,11.25,13681.18081,220655.5165,95.5519805975036,8712,10293,418900,1183,0.11,0.0148698233943938,0.341463753526891,-0.0214530442324163,0.117411411940011
"3319","Massachusetts",2190,6.25,6964.466492,22117.79046,74.594834143917,3638,12166,595700,596,0.23,0.00457213318957854,0.346623876507645,-0.016339856182453,0.117402864434339
"3320","Maine",4609,6.25,6810.650525,8350.311817,72.710895128826,1119,11894,370000,584,0.17,0.00575733760430445,0.341656467107433,-0.0127094399313856,0.117349646262827
"3321","Virginia",23451,10.25,12736.13749,139321.0083,80.0532724888059,10217,11650,415600,1094,0.12,0.00955570440161219,0.342538306410889,-0.017813796144388,0.117200936323934
